dutchy	Usage--You look dutchy.  Means you look like a dutchess.  In other words you look nice or even classy.	胖 不错 优雅	荷兰 语	dutchy	dutchy
mentos	good luck.	祝你 好运。	薄荷	曼妥思	曼妥思
churchy	jail cell.  rhyming slang: church bell... cell.	教会 钟 牢房	教堂	热衷 宗教	教堂
fluffer	a person on the crew of a pornographic film whose job is to make the leading male erect, when required.	色情 电影 员工 工作 男主角 勃起	绒毛	疏解 机	疏解
bruiser	a tough, violent person.	坚韧 暴力 人	bruiser	布鲁斯	布鲁斯
bch	shortened form for "bitch".	婊子	bch	bch	BCH
edged	drunk.	醉	边缘	刃	边
bukkake	a sexual practice that involves many men ejaculating on a smaller number of people (usually a single person.)  It is sometimes depicted in pornography.	许多 男人 少数人 通常 一个人 射精 性行为 色情	bukkake	bukkake	颜面 射精
frogger	to change lanes rapidly while driving in an attempt to get ahead of the traffic.  Origin: in an 1980s video game of the same name, the goal was to navigate a frog safely across several lanes of heavy traffic. Often this required changing between lanes very quickly to avoid being squished.	驾驶 快速 改变 车道 试图 超车 视频 游戏 导航 青蛙 避免 挤压	青蛙	青蛙 过河	青蛙
grands	grandparents.	祖父母。	盛大	大奖赛	场
jitterbug	one who is younger than oneself.  Also jit.	年轻 人	jitterbug	吉特巴	吉特巴 舞
graf	shortened form of "paragraph".  Journalism slang.	缩短 形式 段落 新闻 俚语	graf	格拉夫	格拉夫
jinky	cool, neat.	酷，整洁。	怪异	jinky	jinky
streetwise	with an ability to handle situations in urban environments.	具有 处理 城市 环境 情况 能力	条纹	街头	街头
dingus	foolish or reckless person, esp. driver.	愚蠢 鲁莽 人 司机	。	dingus	无名氏
recce	to reconnoiter.  UK/Canadian slang.	侦察	recce	侦察	侦察
hoebag	a sexually promiscuous person.	性交 猥亵 人	hoebag	hoebag	hoebag
low-life	a criminal or evil person.	犯罪 邪恶 人	低贱 生活	低等	低 生活
banus	perineum.  Etymology: this term is a contraction of "balls" (testicles) and "anus."	会阴 球 卵蛋 睾丸 肛门	巴努斯	巴努斯	奖金
chicka	a close female friend, or one's best female friend.  Misspelling of chica.	亲密 女性 朋友 最好	chicka	叽	环节
earful	excessive or animated talk.	过度 生动 谈话	耳朵	滔滔不绝	顿
a-okay	very good.	很好	好	还	可以
dsb	acronym for "dangerous sperm build-up."  An apocryphal condition that results from a delayed period without ejaculation.	危险 精子 积聚 缩写 射精 延迟 月经 例假  假性 情况	dsb	争端 解决 机构	DSB
joyride	a ride in a motor vehicle (usually stolen) taken for fun.	机动 车辆 被盗 偷 乘坐 乐趣	jo	兜风	兜风
yac	short for "cognac" and is usually used to refer to Hennessy.  Popularized by hip hop music.	干邑 轩尼诗 流行 嘻哈 音乐	yac	yac	YAC
fido	acronym for "fuck it, drive on."  Used when there is nothing to do about something, or it's not worth the time it would take to handle.	操 继续 开车 可做 东西 不值得 处理 使用	fido	fido	FIDO
roid	Bad person, moron, idiot.	坏人 混蛋 白痴	id	拉杆	*
ticks	Minutes.	分钟	蜱	蜱虫	蜱
sphincter	asshole.	混蛋	括约肌	括约肌	括约肌
brackin	Tellin some that there fine or telling someone what's up you want fight ten homie	告诉 一些 精细 告诉 打架 揍 家伙	腋下	brackin	布莱金
bbe	acronym of "Biggest Beating Ever," which can refer to "beating" as in a severe physical attack, or a severe defeat e.g. in a competitive sport.	严重 物理 攻击 斗殴 失败 竞技 体育	bbe	新译本	BBE
grimace	Any fat woman who dresses in an all purple jump or jogging suit.  (Someone who resembles Grimace from the McDonalds commercials)	胖 女人 穿着 紫色 跳跃 慢跑 运动服 麦当劳 广告 格里马斯	鬼脸	做 鬼脸	做 鬼脸
throwed	to get really drunk, wasted.	真的 醉 烂醉	扔	扔	扔
fyl	acronym for "fuck your life".  See also FML. 去你的 操 生活		呋喃	fyl	介绍
weez	n. To have the face of a weasel: beady eyes, nervous look, greasy, etc.	n。狡猾 脸 眼睛 紧张 神色 油腻	weez	weez	weez
vato	friend; "ese".	朋友	vato	韦特	他
trashed	to be very intoxicated, usually by alcohol.	 醉酒 酒精	垃圾	丢弃	丢弃
fruitcake	a crazy person.	疯狂 人。	水果 蛋糕	水果 蛋糕	水果 蛋糕
chalky	To take good bong hits.	抽 水烟	垩白	垩白	垩白
