BT(w/o)	86.58	82.19	59.57	78.18	76.61	90.48	70.22	79.39 	(7.19)			
BT+B	86.75	86.14	60.64	86.46	78.66	94.31	70.22	82.41 	(4.34)	3.02 		
BT+C	87.07	80.08	62.77	97.79	88.07	95.93	70.12	83.33 	(3.74)	3.94 		
BT+M	86.48	81.86	79.79	93.09	85	96.75	96.35	88.54 	2.06 	9.15 		
BT+C+M	86.75	83.36	77.66	97.24	93.2	97.79	97.53	91.40 	4.65 	12.01 		
		1797	94	362	1073	861	1014		0.00 			
XL(w/o)	90.81	88.65	55.32	86.74	50.89	93.5	51.58	73.70 	(17.11)		73.70 	
XL+B	90.43	87.09	60.64	90.88	65.24	94.54	61.24	78.56 	(11.87)	4.86 	73.70 	
XL+C	89.47	85.7	60.64	99.17	91.61	99.65	64.6	85.60 	(3.87)	11.90 	73.70 	
XL+M	90.17	87.37	80.85	96.69	74.09	98.84	98.62	89.25 	(0.92)	15.55 	73.70 	
XL+C+M	90.22	85.53	81.91	99.17	93.38	99.88	98.22	92.88 	2.66 	19.18 	73.70 	
		1797	94	362	1073	861	1014		0.00 	0.00 		
RB(w/o)	92.73	85.7	69.15	75.97	67.94	87.34	60.36	76.39 	(16.34)	0.00 	76.39 	
RB+B	92.46	88.26	62.77	65.19	58.62	77.93	43.79	69.70 	(22.76)	(6.69)	76.39 	
RB+C	91.18	87.76	74.47	99.17	90.49	96.75	75.64	88.00 	(3.18)	11.61 	76.39 	
RB+M	92.62	86.7	80.85	86.46	76.14	93.73	99.51	88.06 	(4.56)	11.67 	76.39 	
RB+C+M	91.88	84.97	86.17	99.45	88.35	98.95	99.21	91.79 	(0.09)	15.40 	76.39 	
		1797	94	362	1073	861	1014		0.00 	0.00 		
BT(w/o)	62	51.42	0	0	55.79	63.47	56.91	55.64 	(6.36)	0.00 	55.64 	
BT+B	68.6	64.02	0	0	71.95	69.86	72.36	68.64 	0.04 	13.00 	55.64 	
BT+C	72.8	69.72	0	0	93.6	77.17	89.43	80.86 	8.06 	25.22 	55.64 	
BT+M	70.4	72.15	0	0	83.23	80.37	99.59	81.63 	11.23 	25.99 	55.64 	
BT+C+M	72.4	74.8	0	0	87.5	79.91	95.12	82.80 	10.40 	27.16 	55.64 	
		492	0	0	328	219	246		0.00 	0.00 		
XL(w/o)	61.4	34.15	0	0	54.88	60.27	79.67	55.64 	(5.76)	0.00 	55.64 	
XL+B	63.2	88.62	0	0	55.49	64.84	24.8	63.89 	0.69 	8.25 	55.64 	
XL+C	67.8	60.16	0	0	83.84	97.26	79.67	76.26 	8.46 	20.62 	55.64 	
XL+M	62.2	59.96	0	0	56.4	94.52	100	72.61 	10.41 	16.97 	55.64 	
XL+C+M	67.2	82.32	0	0	76.83	98.17	100	87.00 	19.80 	31.36 	55.64 	
		492	0	0	328	219	246		0.00 	0.00 		
RB(w/o)	76.4	80.69	0	0	71.04	76.71	67.07	74.94 	(1.46)	0.00 	74.94 	
RB+B	77	79.67	0	0	82.62	90.87	77.64	81.94 	4.94 	7.00 	74.94 	
RB+C	79	79.47	0	0	88.41	97.72	76.83	84.36 	5.36 	9.42 	74.94 	
RB+M	72.6	78.46	0	0	86.89	98.63	100	88.17 	15.57 	13.23 	74.94 	
RB+C+M	74	87.2	0	0	93.9	100	99.59	93.46 	19.46 	18.52 	74.94 	
		492	0	0	328	219	246		0.00 	0.00 		
BT(w/o)	63.96	31.65	88.16	80	53.52	60.71	36.78	48.74 	(15.22)	0.00 	48.74 	
BT+B	68.47	37.04	83.55	60	40.85	48.21	29.31	45.96 	(22.51)	(2.78)	48.74 	
BT+C	68.92	36.7	85.53	100	70.42	76.79	50.57	56.29 	(12.63)	7.55 	48.74 	
BT+M	67.79	32.32	91.45	80	74.65	82.14	91.95	65.96 	(1.83)	17.22 	48.74 	
BT+C+M	67.57	36.36	94.08	100	85.92	83.93	91.38	69.27 	1.70 	20.53 	48.74 	
		297	152	5	71	56	174		0.00 	0.00 		
XL(w/o)	75.45	39.39	72.37	20	30.99	51.79	38.51	45.83 	(29.62)	0.00 	45.83 	
XL+B	79.05	45.12	80.26	40	64.79	57.14	46.55	55.23 	(23.82)	9.40 	45.83 	
XL+C	74.55	39.73	84.21	60	69.01	82.14	54.6	58.15 	(16.40)	12.32 	45.83 	
XL+M	74.1	41.75	92.11	40	70.42	80.36	95.4	69.80 	(4.30)	23.97 	45.83 	
XL+C+M	77.03	45.12	95.39	60	85.92	92.86	95.98	74.44 	(2.59)	28.61 	45.83 	
		297	152	5	71	56	174		0.00 	0.00 		
RB(w/o)	78.83	48.82	78.29	60	46.48	42.86	44.83	53.25 	(25.58)	0.00 	53.25 	
RB+B	81.31	48.82	76.32	60	47.89	58.93	44.25	54.04 	(27.27)	0.79 	53.25 	
RB+C	77.93	45.12	79.61	60	64.79	69.64	38.51	54.31 	(23.62)	1.06 	53.25 	
RB+M	77.03	56.57	88.16	40	78.87	85.71	96.55	76.29 	(0.74)	23.05 	53.25 	
RB+C+M	75	42.42	93.42	60	74.65	87.5	93.68	70.99 	(4.01)	17.75 	53.25 	
		297	152	5	71	56	174		0.00 	0.00 		
BT(w/o)	45.6	21.87	39.5	0	17.39	42.22	11.45	22.83 	(22.77)	0.00 	22.83 	22.77 
BT+B	48.6	26.93	42.86	0	15.22	42.22	10.69	24.94 	(23.66)	2.11 	22.83 	23.66 
BT+C	47	27.47	56.3	0	63.04	95.56	59.54	49.89 	2.89 	27.05 	22.83 	(2.89)
BT+M	46.8	26.13	53.78	0	56.52	55.56	64.89	46.08 	(0.72)	23.24 	22.83 	0.72 
BT+C+M	43.6	22.13	55.46	0	78.26	77.78	80.92	53.14 	9.54 	30.31 	22.83 	(9.54)
		375	119	0	72	91	263		0.00 	0.00 		
XL(w/o)	56	25.07	44.54	0	30.43	26.67	13.74	24.93 	(31.07)	0.00 	24.93 	
XL+B	57	39.2	39.5	0	28.26	42.22	20.61	33.37 	(23.63)	8.44 	24.93 	
XL+C	54.4	28.53	60.5	0	73.91	91.11	51.15	48.87 	(5.53)	23.95 	24.93 	
XL+M	53.6	29.33	66.39	0	63.04	68.89	77.86	54.55 	0.95 	29.62 	24.93 	
XL+C+M	54.2	33.07	64.71	0	65.22	75.56	77.1	56.47 	2.27 	31.54 	24.93 	
		375	119	0	72	91	263		0.00 	0.00 		
RB(w/o)	50.4	19.47	36.97	0	20.65	20.88	6.46	18.25 	(32.15)	0.00 	18.25 	
RB+B	51	22.13	39.5	0	28.26	28.89	9.92	22.03 	(28.97)	3.79 	18.25 	
RB+C	50.4	33.07	60.5	0	89.13	82.22	54.2	51.91 	1.51 	33.66 	18.25 	
RB+M	52	31.47	68.91	0	73.91	80	87.79	60.53 	8.53 	42.29 	18.25 	
RB+C+M	48.4	26.4	67.23	0	67.39	77.78	81.68	55.77 	7.37 	37.53 	18.25 	
