time	0.004602220799298441
money	0.001981047511249335
hour	7.425096080608621E-4
day	4.8815726643393174E-4
year	4.052966761389756E-4
life	1.8466165906741276E-4
quality time	1.7175987742724477E-4
night	1.7155001983630683E-4
dollar	1.5713491245838835E-4
afternoon	1.5655241636487765E-4
week	1.4912968937563385E-4
weekend	1.4650174657888094E-4
month	1.4475988585391168E-4
minute	1.300932604719419E-4
fortune	1.2694828475908092E-4
summer	1.1642654764752383E-4
millions	1.0301457305375995E-4
free time	9.9834744616205E-5
holiday	8.802319228364291E-5
evening	6.896071183502798E-5
billions	6.477616501150835E-5
christmas	6.424082864202744E-5
winter	6.405593619301441E-5
extra money	6.295753632293547E-5
time outdoors	6.13729355764094E-5
childhood	6.115842708219368E-5
vacation	5.215733464205148E-5
career	4.800647717553353E-5
bucks	4.70526906101889E-5
season	4.695932607490678E-5
thousands	4.4242417383571865E-5
considerable time	4.329892976345807E-5
decade	4.095792721739425E-5
dime	3.939415723987848E-5
tax dollar	3.568279733076462E-5
energy	3.5619983011630814E-5
cash	3.484184024016575E-5
fund	3.469697982447327E-5
spare time	3.2674097642288365E-5
morning	3.2147123411112685E-5
time reading	2.950804352227735E-5
penny	2.776963473664665E-5
extra time	2.77467237293609E-5
lifetime	2.7564308152219107E-5
hundreds	2.741230914217099E-5
effort	2.715813601040506E-5
honeymoon	2.614869646794222E-5
leisure time	2.496150506512528E-5
remainder	2.4634202565435E-5
average	2.3742551746538026E-5
ton	2.3585024118969133E-5
seconds	2.255489872349951E-5
million dollar	2.2369703705869592E-5
whole life	2.2022412955525874E-5
amount	2.177080219761163E-5
moment	2.062729364268986E-5
adult life	1.9787054411009334E-5
big bucks	1.9451416985571693E-5
long time	1.939778335584516E-5
semester	1.8925410171187958E-5
resource	1.858119393653947E-5
time outside	1.8337530409486017E-5
thanksgiving	1.8184500590245848E-5
long hour	1.723853524062477E-5
time playing	1.712397617595157E-5
30 minute	1.683155543512323E-5
lot	1.6598163623722304E-5
early year	1.5750170129411064E-5
10 year	1.4747592379854536E-5
budget	1.4596654283201845E-5
2 hour	1.389805892713935E-5
20 year	1.3888982436273502E-5
early life	1.3790065452388142E-5
entire day	1.3331821064417202E-5
