250	250	250	Two hundred fifty		foolish stubborn rude impetuous fool
二百五	Two hundred fifty	250	Two hundred five	idiot stupid person dope	foolish stubborn rude impetuous fool
3P	3P	3P	3P	slang threesome	threesome men women
矮丑穷	Dwarf ugly poor	Short ugly poor	Short ugly poor	undesirable boyfriend short ugly poor opposite	short ugly poor non-ideal boyfriend husband loser
矮穷挫	Low short frustration	Dwarf poor contusion	Poor frustrated		short ugly poor non-ideal boyfriend husband loser
A片	A slice	A slice	Porn	adult movie pornography	adult video film pornographic porn
毛片	Hair piece	Blue movie	Feather	pornographic film unedited film old fur color	adult video film pornographic porn
阿三	Asan	O	3	derog Indian	ethnic slur Indian people
棒子	stick	Stick	Stick	stick club cudgel maize corn ear maize corncob derog Korean	ethnic slur Korean people
BZ	BZ	BZ	BZ		moderator discussion forum admin
版主	Moderator	Moderators	Moderator	forum moderator webmaster	moderator discussion forum admin
白富美	White Fu Mei	Fume Blanc	White, rich beautiful girl	Ms Perfect fair-skinned rich beautiful	white rich beautiful ideal girlfriend wife skin wealth appearance tall rich handsomebeauty
杯具	Cups	Tragedy	Bitter cups		tragedy
标题党	Title Party	Title party	Title Party	sensational headline writers people write misleading titles generate clicks	misleading article headlines post titles clickbait
BS	BS	BS	BS		bullshit despise
变态	metamorphosis	BT	metamorphosis	metamorphose biology abnormal perverted hentai pervert	perverted deviant abnormal
菜鸟	Rookie	Green hand	Green hand	coll new particular subject rookie beginner newbie	newbie noob beginner novice rookie
草泥马	Mud horse	Grass mud horse	Fuck you	grass mud horse used substitute mock censorship	fuck your mom government censorship
CCAV	CCAV	CCAV	CCAV		china central funny nickname CCTV central television
册那	Book that	Books that	The book		offensive
查水表	Check water table	Check meter	check water watch	police barge false pretences	check water meter posts comments subversive inharmonious government police authorities original poster home arrest guise
城管	Urban management	Urban management	Urban management	local government bylaw enforcement officer city management	city management administrator task enforcing municipal laws regulations codes poor reputation Chinese corrupt violent brutes physically bullying illegal street vendors hawkers peddlers
吃货	Eat goods	Foodie	Chowhound	chowhound foodie good-for-nothing	glutton eat lot eat nothing foodaholic
打鸡血	Playing chicken blood	Chicken blood	chicken blood	lit inject chicken blood coll extremely excited energetic mockingly	inject chicken blood extremely excited fervent
打酱油	Soy sauce	Buy soy sauce	Get some soy sauce	none business buy soy sauce	soy sauce none business involve me passing
蛋腚	Egg 腚	Egg butt	Egg Ding		relaxed calm
蛋疼	Egg pain	Egg pain	Fucking	ball breaking pain	ball ache testicle extremely unreasonable ridiculous boredom nothing
碉堡	epic	Bunker	Holy crap		amazed stunned shocked surprised frightened
屌丝	Cock wire	Cock wire	Loser	loser slang	loser douchebag negatively humorously forum poor ugly short nothing failure life prone excessive masturbation otaku males females downtrodden ultimately insignificant greater society bitter humorously sarcastically
顶	top	Top	top	apex crown of head top roof most carry head push top go against replace substitute be subjected aerial bombing hailstorm etc bump forum thread raise s profile classifier for headwear hats veils etc	BBS forums support pushing topic post top more bump upvote like
豆腐渣	Tofu	Jerry	Bean curd residue	okara i.e soy pulp by-product of making soymilk or tofu	tofu dregs soybean residue shoddy construction shoddily constructed buildings soft crumble
法克	Fake	Ashfaq	Fuck	fuck loanword	transliteration fuck
翻墙	Over wall	Over wall	Over wall	lit climb over wall fig breach Great Firewall of China	circumvent censorship software VPN virtual private networks proxies scale wall
FJ	FJ	FJ	FJ		handjob masturbation males
飞机	aircraft	The flight	aircraft	airplane	handjob masturbation males
FZL	FZL	FZL	FZL		person young anti mainstream non emo underground characterized fashion attitudes life
非主流	non-mainstream	Non-mainstream	Non-mainstream		person young anti mainstream non emo underground characterized fashion attitudes life
FQ	FQ	FQ	FQ		indignant angry youth Chinese patriotic nationalistic critical government shitty youth pun
粪青	Fecal green	Feces Green	shit youth	shit youth used satirically against which shares same sound 	indignant angry youth Chinese patriotic nationalistic critical government shitty youth pun
愤青	Angry youth	Angry youth	Young cynic	angry youth positive term used describe young Chinese with extreme nationalistic tendencies 	indignant angry youth Chinese patriotic nationalistic critical government shitty youth pun
粉丝	Fans	Fans	Fans	bean vermicelli mung bean starch noodles Chinese vermicelli cellophane noodles fan loanword enthusiast for sb or sth	vermicelli fans rice meal
负翁	Negative Weng	Of debtor	Spend-more-than-earn	debtor jocular term homonymous with	rich man poor man debt opposite
富二代	Rich second generation	Rich second generation	One born with silver spoon one's mouth	children of entrepreneurs who became wealthy under Deng Xiaoping's economic reforms 	rich second generation rich wealthy children parents
浮云	Clouds	Nothing	Floating clouds	floating clouds fleeting transient	popular passing clouds ephemeral unimportant insignificant
给力	awesome	Gelivable	Awesome	cool nifty awesome impressive put extra effort	give force power interesting impressive awesome amazing powerful
GC	GC	GC	GC		orgasm climax come
高大上	Tall on	Tall advanced	Tall	slang high-end elegant classy abbr for	high-end impressive high-class objects people behavior ideas popular
高富帅	Gao Fu Shuai	Gao Fushuai	Tall, rich handsome	Mr Perfect i.e tall rich handsome slang	tall rich handsome ideal boyfriend husband contemporary society opposite short ugly poor female counterpart white rich beautiful
搞基	Engage base	Gay	Gay	slang engage male homosexual practices	gay relations sex
GCD	GCD	GCD	GCD		Chinese Communist Party
共产党	Communist Party	Communist Party	The Communist Party	Communist Party	Chinese Communist Party
