SNLI	33.3	54.43	87.44	90.56	91.86	59.83	59.55	45.7	45.29	-5.4	27.89	44.86	46.57
QNLI	50	67.17	61.6	86.42	90.37	66.4	57.45	55.16	52.91	0.77	4.15	31.26	37.46
MNLI	33.3	47.2	54.63	83.42	87.21	52.46	54.57	36.66	37.84	-5.26	0.06	46.76	49.37
ROCStory	50	61.73	62.91	86.85	91.55	60.24	59.88	56.44	74	1.49	3.03	30.41	17.55
COPA	50	48	53.8	67.4	69	48.4	51.4	60	58.4	-0.4	2.4	7.4	10.6
SWAG	25	27.79	68.95	77.58	81.89	27.82	50.62	53.66	58.42	-0.03	18.33	23.92	23.47
RACE	25	29.87	31.35	29	29.69	31.27	29.83	30.09	24.48	-1.4	1.52	-1.09	5.21
RECLOR	25	32.2	30.96	45	54.2	31.6	30.2	40.2	32.2	0.6	0.76	4.8	22
ARCT	50	50.23	47.52	65.76	77.25	50.23	49.77	62.83	65	0	-2.25	2.93	12.25
ARCT_adv	50	50	50	50.33	50	50	50	50	50	0	0	0.33	0
