,BT(w/o),BT+B,BT+C,BT+M,BT+C+M
neg+,82.19,86.14,80.08,81.86,83.36
neg-,59.57,60.64,62.77,79.79,77.66
ner,78.18,86.46,97.79,93.09,97.24
pr,76.61,78.66,88.07,85,93.2
pi,90.48,94.31,95.93,96.75,97.79
adv,83.73,83.03,83.41,70.22,73.89
voice,70.22,70.22,70.12,96.35,97.53
syn,80.55,81.78,81.62,72.74,73.35
,,,,,
,XL(w/o),XL+B,XL+C,XL+M,XL+C+M
neg+,88.65,87.09,85.7,87.37,85.53
neg-,55.32,60.64,60.64,80.85,81.91
ner,86.74,90.88,99.17,96.69,99.17
pr,50.89,65.24,91.61,74.09,93.38
pi,93.5,94.54,99.65,98.84,99.88
adv,89.68,89.46,87.35,87.68,86
voice,51.58,61.24,64.6,98.62,98.22
syn,87.29,88.36,85.45,84.07,87.29
,,,,,
,RB(w/o),RB+B,RB+C,RB+M,RB+C+M
neg+,85.7,88.26,87.76,86.7,84.97
neg-,69.15,62.77,74.47,80.85,86.17
ner,75.97,65.19,99.17,86.46,99.45
pr,67.94,58.62,90.49,76.14,88.35
pi,87.34,77.93,96.75,93.73,98.95
adv,91.62,91.73,90.27,90.76,88.86
voice,60.36,43.79,75.64,99.51,99.21
syn,90.35,89.89,88.51,85.3,87.14
,,,,,
,BT(w/o),BT+B,BT+C,BT+M,BT+C+M
neg+,51.42,64.02,69.72,72.15,74.8
pr,55.79,71.95,93.6,83.23,87.5
pi,63.47,69.86,77.17,80.37,79.91
adv,55.65,66.53,69.76,63.1,63.51
voice,56.91,72.36,89.43,99.59,95.12
syn,52,72,68,72,72
,,,,,
,XL(w/o),XL+B,XL+C,XL+M,XL+C+M
neg+,34.15,88.62,60.16,59.96,82.32
pr,54.88,55.49,83.84,56.4,76.83
pi,60.27,64.84,97.26,94.52,98.17
adv,57.26,62.5,69.56,62.5,68.75
voice,79.67,24.8,79.67,100,100
syn,60,64,68,72,68
,,,,,
,RB(w/o),RB+B,RB+C,RB+M,RB+C+M
neg+,80.69,79.67,79.47,78.46,87.2
pr,71.04,82.62,88.41,86.89,93.9
pi,76.71,90.87,97.72,98.63,100
adv,73.59,72.78,77.82,71.37,70.36
voice,67.07,77.64,76.83,100,99.59
syn,80,80,88,44,72
,,,,,
,BT(w/o),BT+B,BT+C,BT+M,BT+C+M
neg+,31.65,37.04,36.7,32.32,36.36
neg-,88.16,83.55,85.53,91.45,94.08
ner,80,60,100,80,100
pr,53.52,40.85,70.42,74.65,85.92
pi,60.71,48.21,76.79,82.14,83.93
adv,68.24,62.39,71.17,59.68,66.89
voice,36.78,29.31,50.57,91.95,91.38
syn,62.05,68.65,71.62,62.71,63.37
,,,,,
,XL(w/o),XL+B,XL+C,XL+M,XL+C+M
neg+,39.39,45.12,39.73,41.75,45.12
neg-,72.37,80.26,84.21,92.11,95.39
ner,20,40,60,40,60
pr,30.99,64.79,69.01,70.42,85.92
pi,51.79,57.14,82.14,80.36,92.86
adv,76.13,68.02,72.97,72.75,72.75
voice,38.51,46.55,54.6,95.4,95.98
syn,74.59,76.24,73.27,72.28,71.62
,,,,,
,RB(w/o),RB+B,RB+C,RB+M,RB+C+M
neg+,48.82,48.82,45.12,56.57,42.42
neg-,78.29,76.32,79.61,88.16,93.42
ner,60,60,60,40,60
pr,46.48,47.89,64.79,78.87,74.65
pi,42.86,58.93,69.64,85.71,87.5
adv,79.05,77.7,78.15,74.1,75.23
voice,44.83,44.25,38.51,96.55,93.68
syn,77.89,78.22,73.93,72.61,75.58
,,,,,
,BT(w/o),BT+B,BT+C,BT+M,BT+C+M
neg+,21.87,26.93,27.47,26.13,22.13
neg-,39.5,42.86,56.3,53.78,55.46
pr,17.39,15.22,63.04,56.52,78.26
pi,42.22,42.22,95.56,55.56,77.78
adv,45.8,45.2,45.2,39.4,41.8
voice,11.45,10.69,59.54,64.89,80.92
syn,44.64,49.48,44.64,38.06,41.87
,,,,,
,XL(w/o),XL+B,XL+C,XL+M,XL+C+M
neg+,25.07,39.2,28.53,29.33,33.07
neg-,44.54,39.5,60.5,66.39,64.71
pr,30.43,28.26,73.91,63.04,65.22
pi,26.67,42.22,91.11,68.89,75.56
adv,53.2,53.2,53,45.8,45.6
voice,13.74,20.61,51.15,77.86,77.1
syn,51.56,53.98,51.9,42.56,43.6
,,,,,
,RB(w/o),RB+B,RB+C,RB+M,RB+C+M
neg+,19.47,22.13,33.07,31.47,26.4
neg-,36.97,39.5,60.5,68.91,67.23
pr,20.65,28.26,89.13,73.91,67.39
pi,20.88,28.89,82.22,80,77.78
adv,47,51.4,49.6,40,45.4
voice,6.46,9.92,54.2,87.79,81.68
syn,48.79,47.75,50.52,39.79,39.79
