,BT(w/o),BT+B,BT+C,BT+M,BT+C+M
neg+,80.24,86.99,80.73,78.36,82.99
neg-,60.99,68.79,62.76,85.10,81.91
ner,84.90,86.00,99.63,93.37,99.17
pr,78.47,82.76,91.42,87.64,93.60
pi,89.47,88.97,99.03,95.39,98.92
voice,60.26,68.02,72.52,95.50,95.23
,,,,,
,XL(w/o),XL+B,XL+C,XL+M,XL+C+M
neg+,86.94,87.39,88.65,86.98,85.61
neg-,60.99,57.09,57.09,76.60,81.21
ner,88.03,92.36,99.45,94.29,99.35
pr,52.50,53.99,89.03,70.92,91.71
pi,94.00,96.44,99.30,97.29,99.62
voice,52.76,54.08,61.47,98.88,97.37
,,,,,
,RB(w/o),RB+B,RB+C,RB+M,RB+C+M
neg+,87.50,88.56,88.24,87.96,87.67
neg-,61.35,64.89,70.57,81.56,82.62
ner,77.62,77.99,99.63,95.21,99.72
pr,65.99,61.91,92.36,71.36,96.02
pi,88.97,90.05,98.68,96.28,99.61
voice,64.10,57.89,73.70,99.48,99.34
,,,,,
,BT(w/o),BT+B,BT+C,BT+M,BT+C+M
neg+,56.44,73.22,69.69,74.66,77.97 
pr,69.41,85.16,91.87,82.01,92.48
pi,74.89,71.54,77.02,81.43,86.30
voice,53.93,80.49,70.60,97.29,96.47
,,,,,
,XL(w/o),XL+B,XL+C,XL+M,XL+C+M
neg+,58.53,69.90,73.58,69.69,84.88 
pr,55.59,58.74,91.16,63.01,89.64
pi,78.54,79.15,96.65,85.84,98.18
voice,64.77,50.54,75.34,99.73,99.86
,,,,,
,RB(w/o),RB+B,RB+C,RB+M,RB+C+M
neg+,73.87,82.51,88.55,83.37,86.03 
pr,60.36,65.44,94.21,73.07,95.73
pi,75.65,82.65,97.41,95.74,99.54
voice,64.91,80.63,87.94,99.59,99.86
,,,,,
,BT(w/o),BT+B,BT+C,BT+M,BT+C+M
neg+,11.78,49.83,35.13,42.20,38.94
neg-,80.26,67.10,83.33,94.52,95.39
pr,52.11,43.66,69.48,84.51,81.69
pi,42.26,35.72,77.98,83.93,92.26
voice,17.43,19.92,45.98,93.48,89.85
,,,,,
,XL(w/o),XL+B,XL+C,XL+M,XL+C+M
neg+,43.88,46.57,45.68,44.55,45.68
neg-,80.26,80.92,81.58,91.01,93.86
pr,41.78,44.13,66.20,62.91,75.59
pi,42.86,57.14,84.53,81.55,95.83
voice,53.45,46.17,58.24,93.10,93.29
,,,,,
,RB(w/o),RB+B,RB+C,RB+M,RB+C+M
neg+,36.92,48.71,44.89,52.41,49.05
neg-,80.04,78.73,83.55,93.64,92.54
pr,46.95,44.60,66.67,68.07,79.34
pi,60.12,60.71,80.95,77.38,95.83
voice,42.61,40.42,41.57,92.14,91.76
,,,,,
,BT(w/o),BT+B,BT+C,BT+M,BT+C+M
neg+,25.87,28.71,23.64,21.24,23.47
neg-,36.13,33.61,48.74,53.78,54.90
pr,19.56,26.09,43.12,43.84,47.46
pi,24.91,30.77,53.85,32.60,50.92
voice,13.81,17.24,31.81,50.32,47.91
,,,,,
,XL(w/o),XL+B,XL+C,XL+M,XL+C+M
neg+,25.33,19.82,30.66,29.96,30.22
neg-,48.46,40.62,58.54,60.78,64.71
pr,27.53,24.27,46.38,50.73,53.99
pi,38.46,27.10,45.06,43.96,57.88
voice,16.73,8.88,35.74,54.12,53.23
,,,,,
,RB(w/o),RB+B,RB+C,RB+M,RB+C+M
neg+,30.58,31.29,31.47,29.78,30.31
neg-,52.94,43.42,63.87,64.71,68.91
pr,32.24,31.16,47.83,50.72,55.43
pi,39.19,43.95,62.27,54.94,62.64
voice,20.28,27.76,34.22,56.65,58.18
