#n       cpuA    cpuMa   cpuMi   wrdA    wrdMa   wrdMi   memA            memMa           memMi
10      0.089   0.25    0       3       3       3       0.00183487      0.0155716       0
20      0.336   0.62    0.04    3.7     5       3       0.100588        0.130432        0.0716019
30      0.47    0.65    0.34    3.9     5       3       0.239823        0.287437        0.213699
40      0.6     1.1     0.23    3.9     4       3       0.365078        0.419151        0.323555
50      0.966   2.11    0.54    4.7     8       4       0.584566        0.697594        0.527924

#n       cpuA    cpuMa   cpuMi   wrdA    wrdMa   wrdMi   memA    memMa   memMi
#10      0.12    0.18    0.06    3       3       3       0       0       0
#20      0.503333        0.69    0.38    3.66667 4       3       0.117322        0.131844        0.109558
#30      0.383333        0.46    0.28    4       4       4       0.22639 0.232056        0.216866
#40      1.02667 1.23    0.83    4       4       4       0.363327        0.39492 0.32093
#50      4.89667 13.57   0.4     6.33333 11      4       0.679199        0.951378        0.519859
#60      3.46333 8.09    0.6     6.33333 7       5       0.903661        1.19633 0.752182
#70      7.14667 19.81   0.7     5.66667 9       4       1.15298 1.70425 0.731529
#80      1.13333 1.37    0.66    4       4       4       1.26324 1.29703 1.23076
#90      1.77667 2.82    0.71    6.33333 8       4       1.54934 1.78033 1.29362
#100     6.61333 17.66   0.93    12.3333 29      4       3.62771 7.67767 1.58725

#n      cpuA    cpuMa   cpuMi   wrdA    wrdMa   wrdMi   memA    memMa   memMi
#10      0.089   0.25    0       3       3       3       0.00183487      0.0155716       0
#20      0.336   0.62    0.04    3.7     5       3       0.100588        0.130432        0.0716019
#30      0.47    0.65    0.34    3.9     5       3       0.239823        0.287437        0.213699
#40      0.6     1.1     0.23    3.9     4       3       0.365078        0.419151        0.323555
#50      0.966   2.11    0.54    4.7     8       4       0.584566        0.697594        0.527924
#60      4.389   36.4    0.36    7.1     29      4       1.06206 4.51859 0.560226
#70      6.949   31.97   0.55    7.1     19      4       1.34006 3.31056 0.7686
#80      3.889   24.12   0.41    6       11      3       1.26961 2.01437 0.374268
#90      8.222   68.4    0.72    7.6     15      4       2.01298 4.85612 1.17802
#100     4.54    24.64   0.64    7.1     29      4       1.98009 4.89573 1.44514
