Category	Original	B-Noise	50%H-Noise	100%H-Noise	200%H-Noise	300%H-Noise	50%O-Noise	100%O-Noise	200%O-Noise	300%O-Noise
Antonym	54.77	53.1	52.78	53.49	52.97	54.51	53.61	51.51	54.51	54.26
Antonym(mm)	50.11	47.23	46.31	45.79	46.25	47.29	46.94	44.46	47.58	49.13
Negation	55.1	55.45	56.23	55.4	55.74	57.3	55.38	55.21	55.65	55.44
Negation(mm)	55.64	55.88	56.37	55.89	55.59	57.1	55.32	55.64	55.94	55.87
LengthMismatch	80.86	80.34	81.23	80.65	80.83	81.19	80.89	80.82	80.86	81.09
LengthMismatch(mm)	81.86	80.92	81.89	81.61	81.7	81.87	81.99	82.04	82.12	82.21
SpellingError	78.17	78.3	78.21	78.32	77.59	78.5	78.25	78.5	78.45	77.6
SpellingError(mm)	78.43	78.49	78.35	78.07	77.8	78.29	78.7	78.58	78.72	77.74
WordOverlap	59	59.93	59.9	59.56	57.95	61.79	62.18	58.65	60.04	61.72
WordOverlap(mm)	58.16	59.6	59.63	59.76	57.23	61.31	61.52	58.81	59.6	61.7
NumericalReasoning	32.91	30.12	32.29	35.12	35.07	35.49	33.87	32.2	32.53	29.1
Average	62.27	61.76	62.11	62.15	61.70	63.15	62.60	61.49	62.36	62.35






