Category	Original	B-Noise	50%H-Noise	100%H-Noise	200%H-Noise	300%H-Noise	50%O-Noise	100%O-Noise	200%O-Noise	300%O-Noise
Antonym	65.02	67.07	68.1	66.82	68.8	66.23	67.71	64.64	69.25	69.7
Antonym(mm)	60.61	62.8	62.86	61.3	63.73	61.65	62	59.34	64.07	64.19
Negation	55.54	55.61	56.72	56.92	56.42	56.61	56.7	56.59	56.8	58.05
Negation(mm)	55.5	55.89	56.92	56.77	57.05	56.77	57.03	56.88	56.95	58.23
LengthMismatch	85.31	85.36	85.19	85.05	84.93	85.05	85.04	84.89	85.11	85.22
LengthMismatch(mm)	85.3	85.27	85.23	85.67	85.54	85.22	85.23	85.4	85.31	85.59
SpellingError	83.07	82.8	83.17	83.43	82.95	83.14	83.06	83.06	83.31	82.8
SpellingError(mm)	83.09	83.06	83.29	83.62	82.91	83.07	83.09	83.25	83.38	82.87
WordOverlap	61.96	62.63	64.01	62.41	64.46	63.82	63.03	63.14	64.29	63.92
WordOverlap(mm)	60.05	60.71	62	61.18	62.52	61.74	61	61.82	62.53	61.59
NumericalReasoning	56.92	56.51	54.88	56.41	57.47	52.7	54.57	57.06	58.46	49.47
Average	68.39727273	68.88272727	69.30636364	69.05272727	69.70727273	68.72727273	68.95090909	68.73363636	69.95090909	69.23909091
